at : x : 22.224 | y : 4.64279 | z : 4.73257
forward : x : 0.230392 | y : 0.615661 | z : 0.753578
eye : x : 22 | y : 4 | z : 4
at : x : 22.2304 | y : 4.61566 | z : 4.75358
forward : x : 0.236534 | y : 0.587785 | z : 0.773667
eye : x : 22 | y : 4 | z : 4
at : x : 22.2365 | y : 4.58779 | z : 4.77367
forward : x : 0.242387 | y : 0.559193 | z : 0.792813
eye : x : 22 | y : 4 | z : 4
at : x : 22.2424 | y : 4.55919 | z : 4.79281
forward : x : 0.247945 | y : 0.529919 | z : 0.810992
eye : x : 22 | y : 4 | z : 4
at : x : 22.2479 | y : 4.52992 | z : 4.81099
forward : x : 0.253201 | y : 0.5 | z : 0.828184
eye : x : 22 | y : 4 | z : 4
at : x : 22.2532 | y : 4.5 | z : 4.82818
forward : x : 0.258149 | y : 0.469472 | z : 0.844367
eye : x : 22 | y : 4 | z : 4
at : x : 22.2581 | y : 4.46947 | z : 4.84437
forward : x : 0.260505 | y : 0.45399 | z : 0.852074
eye : x : 22 | y : 4 | z : 4
at : x : 22.2605 | y : 4.45399 | z : 4.85207
forward : x : 0.262782 | y : 0.438371 | z : 0.859521
eye : x : 22 | y : 4 | z : 4
at : x : 22.2628 | y : 4.43837 | z : 4.85952
forward : x : 0.264979 | y : 0.422618 | z : 0.866706
eye : x : 22 | y : 4 | z : 4
at : x : 22.265 | y : 4.42262 | z : 4.86671
forward : x : 0.267095 | y : 0.406737 | z : 0.873628
eye : x : 22 | y : 4 | z : 4
at : x : 22.2671 | y : 4.40674 | z : 4.87363
forward : x : 0.271082 | y : 0.374606 | z : 0.88667
eye : x : 22 | y : 4 | z : 4
at : x : 22.2711 | y : 4.37461 | z : 4.88667
forward : x : 0.27474 | y : 0.34202 | z : 0.898633
eye : x : 22 | y : 4 | z : 4
at : x : 22.2747 | y : 4.34202 | z : 4.89863
forward : x : 0.278062 | y : 0.309017 | z : 0.9095
eye : x : 22 | y : 4 | z : 4
at : x : 22.2781 | y : 4.30902 | z : 4.9095
forward : x : 0.281046 | y : 0.275637 | z : 0.919259
eye : x : 22 | y : 4 | z : 4
at : x : 22.281 | y : 4.27564 | z : 4.91926
forward : x : 0.282409 | y : 0.258819 | z : 0.923719
eye : x : 22 | y : 4 | z : 4
at : x : 22.2824 | y : 4.25882 | z : 4.92372
forward : x : 0.283687 | y : 0.241922 | z : 0.927898
eye : x : 22 | y : 4 | z : 4
at : x : 22.2837 | y : 4.24192 | z : 4.9279
forward : x : 0.284878 | y : 0.224951 | z : 0.931795
eye : x : 22 | y : 4 | z : 4
at : x : 22.2849 | y : 4.22495 | z : 4.93179
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
at : x : 22.286 | y : 4.20791 | z : 4.93541
forward : x : 0.285983 | y : 0.207912 | z : 0.935407
eye : x : 22 | y : 4 | z : 4
